customer_id,last_order_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_combined,rfm_segment,kmeans_cluster
CUST-00001,2026-01-05 23:37:10,5,4952.3,176,3,4,5,345,Loyal Customers,2
CUST-00002,2026-04-16 05:38:34,4,1626.33,75,4,3,2,432,Loyal Customers,1
CUST-00003,2025-03-24 21:51:02,2,4129.15,463,1,1,4,114,Hibernating / Lost,3
CUST-00004,2025-03-04 09:04:17,5,4448.849999999999,483,1,4,4,144,At-Risk High Value,3
CUST-00005,2026-01-24 20:38:24,2,1661.42,157,3,1,2,312,Hibernating / Lost,1
CUST-00006,2025-12-19 06:36:23,2,1168.02,193,3,1,1,311,Hibernating / Lost,1
CUST-00007,2026-06-05 21:05:19,7,5613.639999999999,25,5,5,5,555,VIP Champions,0
CUST-00008,2025-09-16 09:55:08,6,2637.78,287,2,4,3,243,At-Risk High Value,2
CUST-00009,2026-04-06 15:38:31,1,132.38,85,4,1,1,411,New / Recent Customers,1
CUST-00010,2025-10-19 20:16:27,1,509.63,254,2,1,1,211,Hibernating / Lost,1
CUST-00011,2026-05-08 08:33:01,9,7715.82,53,4,5,5,455,VIP Champions,0
CUST-00012,2025-12-30 19:53:13,5,1919.32,182,3,4,2,342,Loyal Customers,2
CUST-00013,2024-11-22 16:15:04,2,310.71000000000004,585,1,1,1,111,Hibernating / Lost,3
CUST-00014,2026-06-03 06:23:52,3,3242.4300000000003,27,5,2,4,524,New / Recent Customers,1
CUST-00015,2026-04-14 13:43:06,4,3589.58,77,4,3,4,434,Loyal Customers,2
CUST-00016,2026-03-23 00:19:08,6,6153.73,99,4,4,5,445,VIP Champions,0
CUST-00017,2024-10-02 04:32:28,4,1819.31,636,1,3,2,132,At-Risk High Value,3
CUST-00018,2025-10-29 06:25:04,6,8441.2,244,2,4,5,245,At-Risk High Value,0
CUST-00019,2026-01-18 12:45:41,5,2375.5,163,3,4,3,343,Loyal Customers,2
CUST-00020,2026-06-01 11:46:12,5,1944.66,29,5,4,2,542,Loyal Customers,2
CUST-00021,2025-03-25 08:26:45,4,1839.71,462,1,3,2,132,At-Risk High Value,3
CUST-00022,2025-11-29 11:54:57,5,2459.3599999999997,213,2,4,3,243,At-Risk High Value,2
CUST-00023,2025-08-27 06:42:22,4,2292.34,307,2,3,3,233,At-Risk High Value,1
