ticket_id,customer_id,issue_type,resolution_time,satisfaction_score,refund_requested
TCK-000001,CUST-01333,Damaged Item,49.2,3,No
TCK-000002,CUST-01155,Late Delivery,14.8,2,Yes
TCK-000003,CUST-03229,Account Security,16.3,5,Yes
TCK-000004,CUST-00399,Damaged Item,39.6,1,Yes
TCK-000005,CUST-01928,Late Delivery,52.9,1,Yes
TCK-000006,CUST-03300,Damaged Item,27.8,1,Yes
TCK-000007,CUST-01907,Wrong Item Sent,11.8,5,No
TCK-000008,CUST-01068,Wrong Item Sent,23.3,3,No
TCK-000009,CUST-00098,Damaged Item,25.3,2,Yes
TCK-000010,CUST-00249,Late Delivery,62.9,1,Yes
TCK-000011,CUST-02597,Payment Issue,5.1,4,No
TCK-000012,CUST-01151,Late Delivery,36.9,2,Yes
TCK-000013,CUST-02008,Damaged Item,49.4,1,No
TCK-000014,CUST-00788,Payment Issue,4.3,5,Yes
TCK-000015,CUST-00756,Late Delivery,70.6,2,No
TCK-000016,CUST-02483,Late Delivery,68.7,4,Yes
TCK-000017,CUST-01489,Refund Inquiry,9.8,4,No
TCK-000018,CUST-00273,Refund Inquiry,16.0,5,Yes
TCK-000019,CUST-00995,Refund Inquiry,7.9,2,No
TCK-000020,CUST-02298,Payment Issue,10.2,4,No
TCK-000021,CUST-02108,Late Delivery,43.9,2,Yes
TCK-000022,CUST-02692,Late Delivery,39.7,1,No
TCK-000023,CUST-02154,Damaged Item,59.9,1,Yes
TCK-000024,CUST-01913,Refund Inquiry,13.0,5,No
TCK-000025,CUST-01467,Account Security,12.3,3,No
TCK-000026,CUST-01675,Wrong Item Sent,17.2,4,No
TCK-000027,CUST-03342,Late Delivery,16.6,1,Yes
TCK-000028,CUST-01487,Late Delivery,65.7,1,No
TCK-000029,CUST-00825,Damaged Item,59.6,1,No
TCK-000030,CUST-02563,Late Delivery,70.7,3,No
TCK-000031,CUST-00483,Late Delivery,12.5,1,No
TCK-000032,CUST-00504,Wrong Item Sent,19.2,5,No
TCK-000033,CUST-02106,Account Security,15.8,4,No
TCK-000034,CUST-00625,Account Security,16.0,4,No
TCK-000035,CUST-02559,Late Delivery,55.3,1,Yes
TCK-000036,CUST-02923,Late Delivery,43.6,4,Yes
TCK-000037,CUST-00936,Damaged Item,49.0,5,No
TCK-000038,CUST-02145,Damaged Item,71.0,3,Yes
TCK-000039,CUST-01868,Account Security,17.2,4,No
TCK-000040,CUST-00851,Damaged Item,23.3,1,Yes
TCK-000041,CUST-00844,Late Delivery,28.7,4,Yes
TCK-000042,CUST-02186,Payment Issue,11.5,4,No
