customer_id,signup_date,age,gender,country,city,customer_type,loyalty_status,acquisition_channel
CUST-00001,2024-06-21,41,Female,United States,New York,Corporate Account,Platinum,Direct Market
CUST-00002,2024-02-08,26,Female,Japan,Osaka,B2C Individual,Bronze,Organic Search
CUST-00003,2025-03-03,52,Male,Canada,Montreal,B2C Individual,Bronze,Organic Search
CUST-00004,2025-01-15,68,Female,Germany,Frankfurt,B2C Individual,Bronze,Paid Search
CUST-00005,2024-12-12,37,Male,United States,Phoenix,B2C Individual,Silver,Organic Search
CUST-00006,2024-08-04,54,Female,United States,Phoenix,B2C Individual,Platinum,Email Referral
CUST-00007,2024-06-08,59,Male,United States,Phoenix,B2C Individual,Bronze,Email Referral
CUST-00008,2024-05-15,34,Female,Australia,Brisbane,B2C Individual,Bronze,Social Media
CUST-00009,2025-10-17,64,Non-Binary,Germany,Frankfurt,Corporate Account,Gold,Organic Search
CUST-00010,2024-02-19,48,Male,Canada,Vancouver,B2C Individual,Silver,Organic Search
CUST-00011,2024-02-16,25,Male,United States,Chicago,B2C Individual,Gold,Paid Search
CUST-00012,2024-05-25,32,Female,Japan,Osaka,Corporate Account,Bronze,Email Referral
CUST-00013,2024-12-05,48,Male,Australia,Brisbane,B2B Small Business,Gold,Paid Search
CUST-00014,2024-12-27,47,Female,United States,Los Angeles,B2C Individual,Bronze,Organic Search
CUST-00015,2026-02-24,63,Female,United States,Los Angeles,B2C Individual,Regular,Organic Search
CUST-00016,2024-02-11,37,Male,United States,Houston,B2B Small Business,Silver,Direct Market
CUST-00017,2024-11-04,56,Female,United States,New York,B2C Individual,Silver,Social Media
CUST-00018,2025-10-13,29,Female,United Kingdom,Manchester,B2C Individual,Bronze,Direct Market
CUST-00019,2024-12-08,66,Female,United Kingdom,Manchester,B2B Small Business,Bronze,Email Referral
CUST-00020,2025-11-28,34,Female,United States,Los Angeles,B2C Individual,Bronze,Paid Search
CUST-00021,2025-03-08,59,Male,Germany,Munich,B2C Individual,Bronze,Organic Search
CUST-00022,2024-01-11,47,Male,United States,New York,B2C Individual,Bronze,Paid Search
CUST-00023,2024-09-05,46,Prefer Not to Say,United States,Phoenix,B2C Individual,Gold,Social Media
CUST-00024,2025-10-18,36,Female,United States,Phoenix,B2B Small Business,Bronze,Email Referral
CUST-00025,2025-06-12,63,Male,United Kingdom,Manchester,B2C Individual,Gold,Organic Search
CUST-00026,2025-03-07,28,Female,Canada,Toronto,B2B Small Business,Bronze,Organic Search
CUST-00027,2024-08-29,51,Male,United States,Chicago,B2C Individual,Bronze,Social Media
CUST-00028,2024-11-30,67,Male,United Kingdom,London,B2C Individual,Gold,Organic Search
CUST-00029,2025-06-06,24,Female,Germany,Frankfurt,B2C Individual,Gold,Social Media
CUST-00030,2024-06-07,61,Male,United States,Chicago,B2C Individual,Silver,Organic Search
CUST-00031,2024-05-24,51,Female,Germany,Berlin,B2B Small Business,Bronze,Organic Search
CUST-00032,2025-08-13,37,Male,United States,Phoenix,B2C Individual,Silver,Paid Search
CUST-00033,2024-05-30,67,Female,United States,New York,B2C Individual,Silver,Social Media
CUST-00034,2025-07-11,55,Male,France,Marseille,B2C Individual,Bronze,Paid Search
CUST-00035,2025-06-18,41,Female,Japan,Tokyo,B2B Small Business,Silver,Organic Search
CUST-00036,2025-02-14,27,Female,Australia,Sydney,B2C Individual,Silver,Email Referral
CUST-00037,2024-03-08,49,Male,United States,New York,B2C Individual,Bronze,Organic Search
CUST-00038,2025-12-14,69,Female,United States,New York,B2C Individual,Platinum,Organic Search
CUST-00039,2024-07-12,32,Male,Canada,Calgary,B2C Individual,Gold,Social Media
CUST-00040,2025-08-11,54,Male,United Kingdom,Edinburgh,B2C Individual,Bronze,Organic Search
CUST-00041,2024-05-02,37,Female,United States,Houston,B2C Individual,Silver,Paid Search
CUST-00042,2025-03-31,20,Male,United Kingdom,London,B2B Small Business,Bronze,Direct Market
CUST-00043,2025-07-15,54,Female,United States,Phoenix,B2C Individual,Gold,Social Media
CUST-00044,2024-10-25,57,Female,France,Lyon,B2C Individual,Silver,Social Media
CUST-00045,2024-04-18,25,Female,United States,Houston,B2C Individual,Bronze,Social Media
CUST-00046,2024-03-12,57,Male,Germany,Munich,B2C Individual,Bronze,Organic Search
CUST-00047,2024-12-20,61,Male,United States,Los Angeles,B2B Small Business,Bronze,Paid Search
CUST-00048,2025-03-25,40,Male,United Kingdom,London,B2C Individual,Silver,Paid Search
CUST-00049,2024-05-03,57,Female,United Kingdom,Birmingham,B2C Individual,Gold,Direct Market
CUST-00050,2024-12-27,28,Female,United States,Houston,B2C Individual,Bronze,Organic Search
CUST-00051,2024-06-05,63,Female,Japan,Nagoya,B2C Individual,Bronze,Paid Search
CUST-00052,2025-08-13,25,Male,Canada,Toronto,B2C Individual,Bronze,Direct Market
CUST-00053,2025-03-07,46,Male,France,Marseille,B2C Individual,Bronze,Email Referral
CUST-00054,2025-12-05,47,Male,France,Marseille,B2C Individual,Bronze,Direct Market
CUST-00055,2025-07-20,27,Male,Germany,Hamburg,B2B Small Business,Silver,Social Media
CUST-00056,2024-09-09,56,Male,France,Marseille,B2C Individual,Silver,Paid Search
CUST-00057,2025-07-29,45,Male,United States,Phoenix,B2C Individual,Regular,Email Referral
CUST-00058,2025-07-05,66,Male,United States,Los Angeles,B2B Small Business,Platinum,Organic Search
CUST-00059,2024-11-21,53,Male,United States,Houston,B2C Individual,Silver,Organic Search
CUST-00060,2025-02-18,30,Male,United States,New York,B2C Individual,Gold,Social Media
CUST-00061,2024-04-20,49,Male,United States,Phoenix,B2C Individual,Regular,Social Media
CUST-00062,2024-09-22,53,Male,United States,Phoenix,B2C Individual,Bronze,Email Referral
