order_id,warehouse_id,courier_partner,shipping_date,delivery_date,delay_reason,delivery_status
ORD-000001,WH-02,UPS Ground,2024-01-02 02:21:12,2024-01-04 02:21:12,None,Delivered
ORD-000002,WH-06,Amazon Logistics,2024-01-01 05:19:53,2024-01-03 05:19:53,None,Delivered
ORD-000003,WH-04,Amazon Logistics,2024-01-01 14:16:09,2024-01-10 14:16:09,Weather Disruption,Delayed
ORD-000004,WH-05,FedEx Express,2024-01-01 22:11:24,2024-01-02 22:11:24,None,Delivered
ORD-000005,WH-08,FedEx Express,2024-01-02 14:27:50,2024-01-04 14:27:50,None,Delivered
ORD-000006,WH-03,Amazon Logistics,2024-01-02 03:56:43,2024-01-03 03:56:43,None,Delivered
ORD-000007,WH-06,UPS Ground,2024-01-03 09:12:14,2024-01-04 09:12:14,None,Delivered
ORD-000008,WH-03,FedEx Express,2024-01-01 19:05:37,2024-01-02 19:05:37,None,Delivered
ORD-000009,WH-05,USPS Priority,2024-01-03 08:47:57,2024-01-05 08:47:57,None,Delivered
ORD-000010,WH-02,USPS Priority,2024-01-03 06:11:01,2024-01-07 06:11:01,Warehouse Bottleneck,Delayed
ORD-000011,WH-08,UPS Ground,2024-01-03 02:49:24,2024-01-10 02:49:24,Traffic & Vehicle Breakdown,Delayed
ORD-000012,WH-04,FedEx Express,2024-01-02 10:18:56,2024-01-03 10:18:56,None,Delivered
ORD-000013,WH-07,FedEx Express,2024-01-02 20:27:34,2024-01-12 20:27:34,Incorrect Address,Delayed
ORD-000014,WH-01,DHL Supply Chain,2024-01-02 09:40:58,2024-01-05 09:40:58,None,Delivered
ORD-000015,WH-05,FedEx Express,2024-01-03 02:58:51,2024-01-06 02:58:51,None,Delivered
ORD-000016,WH-06,Amazon Logistics,2024-01-03 16:14:31,2024-01-05 16:14:31,None,Delivered
ORD-000017,WH-04,FedEx Express,2024-01-03 10:18:37,2024-01-05 10:18:37,None,Delivered
ORD-000018,WH-07,FedEx Express,2024-01-03 07:08:18,2024-01-04 07:08:18,None,Delivered
ORD-000019,WH-01,DHL Supply Chain,2024-01-03 09:22:39,2024-01-05 09:22:39,None,Delivered
ORD-000020,WH-03,DHL Supply Chain,2024-01-03 20:13:29,2024-01-04 20:13:29,None,Delivered
ORD-000022,WH-06,FedEx Express,2024-01-02 22:55:29,2024-01-05 22:55:29,None,Delivered
ORD-000023,WH-06,USPS Priority,2024-01-03 03:14:05,2024-01-11 03:14:05,Traffic & Vehicle Breakdown,Delayed
ORD-000024,WH-03,USPS Priority,2024-01-03 15:24:22,2024-01-08 15:24:22,Warehouse Bottleneck,Delayed
ORD-000025,WH-01,UPS Ground,2024-01-02 12:54:15,2024-01-04 12:54:15,None,Delivered
ORD-000026,WH-07,FedEx Express,2024-01-02 20:35:22,2024-01-04 20:35:22,None,Delivered
ORD-000027,WH-08,UPS Ground,2024-01-02 22:26:13,2024-01-03 22:26:13,None,Delivered
ORD-000028,WH-05,USPS Priority,2024-01-03 02:47:28,2024-01-04 02:47:28,None,Delivered
ORD-000029,WH-03,USPS Priority,2024-01-03 02:28:09,2024-01-09 02:28:09,Weather Disruption,Delayed
ORD-000030,WH-05,UPS Ground,2024-01-04 05:19:19,2024-01-07 05:19:19,None,Delivered
ORD-000031,WH-01,FedEx Express,2024-01-02 17:31:26,2024-01-05 17:31:26,None,Delivered
ORD-000032,WH-07,Amazon Logistics,2024-01-03 19:14:26,2024-01-06 19:14:26,None,Delivered
ORD-000033,WH-08,UPS Ground,2024-01-02 22:54:46,2024-01-04 22:54:46,None,Delivered
ORD-000034,WH-01,DHL Supply Chain,2024-01-03 16:23:21,2024-01-05 16:23:21,None,Delivered
ORD-000035,WH-01,FedEx Express,2024-01-04 14:07:39,2024-01-05 14:07:39,None,Delivered
ORD-000036,WH-03,FedEx Express,2024-01-03 05:27:12,2024-01-05 05:27:12,None,Delivered
ORD-000037,WH-01,UPS Ground,2024-01-03 02:34:30,2024-01-06 02:34:30,None,Delivered
ORD-000038,WH-02,FedEx Express,2024-01-03 05:05:03,2024-01-04 05:05:03,None,Delivered
ORD-000039,WH-04,DHL Supply Chain,2024-01-03 23:11:39,2024-01-04 23:11:39,None,Delivered
ORD-000040,WH-03,UPS Ground,2024-01-03 17:05:49,2024-01-05 17:05:49,None,Delivered
ORD-000042,WH-02,USPS Priority,2024-01-03 15:27:07,2024-01-04 15:27:07,None,Delivered
ORD-000043,WH-07,FedEx Express,2024-01-03 11:33:16,2024-01-05 11:33:16,None,Delivered
ORD-000044,WH-01,Amazon Logistics,2024-01-04 21:12:43,2024-01-06 21:12:43,None,Delivered
ORD-000045,WH-01,FedEx Express,2024-01-04 10:51:13,2024-01-06 10:51:13,None,Delivered
ORD-000046,WH-02,USPS Priority,2024-01-05 10:07:01,2024-01-06 10:07:01,None,Delivered
ORD-000047,WH-08,Amazon Logistics,2024-01-04 18:20:12,2024-01-06 18:20:12,None,Delivered
ORD-000048,WH-05,DHL Supply Chain,2024-01-04 07:34:43,2024-01-07 07:34:43,None,Delivered
ORD-000049,WH-06,DHL Supply Chain,2024-01-03 20:27:28,2024-01-09 20:27:28,Customs Delay,Delayed
ORD-000050,WH-08,UPS Ground,2024-01-04 14:14:49,2024-01-06 14:14:49,None,Delivered
ORD-000051,WH-02,UPS Ground,2024-01-05 08:38:54,2024-01-08 08:38:54,None,Delivered
ORD-000052,WH-03,USPS Priority,2024-01-04 18:53:10,2024-01-05 18:53:10,None,Delivered
ORD-000053,WH-04,USPS Priority,2024-01-05 07:45:28,2024-01-14 07:45:28,Incorrect Address,Delayed
ORD-000054,WH-05,FedEx Express,2024-01-05 02:20:12,2024-01-07 02:20:12,None,Delivered
ORD-000055,WH-05,UPS Ground,2024-01-04 17:45:45,2024-01-07 17:45:45,None,Delivered
ORD-000056,WH-02,UPS Ground,2024-01-05 09:49:07,2024-01-07 09:49:07,None,Delivered
