campaign_id,customer_id,campaign_type,marketing_cost,conversion_status,revenue_generated
CMP-00001,CUST-03473,Influencer Sponsor,20.37,Not Converted,0.0
CMP-00002,CUST-02267,Google PPC,61.93,Not Converted,0.0
CMP-00003,CUST-02564,Google PPC,69.78,Converted,414.56
CMP-00004,CUST-02398,Email Retargeting,70.58,Converted,242.5
CMP-00005,CUST-03164,Influencer Sponsor,64.06,Converted,410.06
CMP-00006,CUST-00152,Meta Paid Ads,24.69,Not Converted,0.0
CMP-00007,CUST-02785,Affiliate Promo,51.85,Converted,293.76
CMP-00008,CUST-03365,Influencer Sponsor,14.41,Not Converted,0.0
CMP-00009,CUST-00092,Influencer Sponsor,53.49,Not Converted,0.0
CMP-00010,CUST-00411,Email Retargeting,47.42,Converted,349.91
CMP-00011,CUST-01135,Affiliate Promo,55.78,Not Converted,0.0
CMP-00012,CUST-02943,Google PPC,45.38,Not Converted,0.0
CMP-00013,CUST-02103,Email Retargeting,19.54,Not Converted,0.0
CMP-00014,CUST-00728,Meta Paid Ads,60.91,Converted,152.83
CMP-00015,CUST-03419,Google PPC,62.91,Not Converted,0.0
CMP-00016,CUST-00241,Email Retargeting,64.73,Converted,292.48
CMP-00017,CUST-00968,Affiliate Promo,79.47,Not Converted,0.0
CMP-00018,CUST-00167,Email Retargeting,70.07,Not Converted,0.0
CMP-00019,CUST-01318,Google PPC,34.62,Not Converted,0.0
CMP-00020,CUST-00449,Influencer Sponsor,46.21,Not Converted,0.0
CMP-00021,CUST-01462,Meta Paid Ads,30.57,Converted,207.59
CMP-00022,CUST-01563,Meta Paid Ads,81.52,Converted,288.39
CMP-00023,CUST-02570,Email Retargeting,84.54,Converted,507.02
CMP-00024,CUST-01559,Email Retargeting,63.88,Not Converted,0.0
CMP-00025,CUST-00715,Email Retargeting,45.51,Not Converted,0.0
CMP-00026,CUST-00104,Affiliate Promo,46.14,Converted,267.76
CMP-00027,CUST-03401,Google PPC,69.8,Not Converted,0.0
CMP-00028,CUST-03482,Email Retargeting,46.26,Not Converted,0.0
CMP-00029,CUST-03443,Google PPC,73.25,Not Converted,0.0
CMP-00030,CUST-01404,Google PPC,23.23,Not Converted,0.0
CMP-00031,CUST-00912,Influencer Sponsor,48.45,Converted,344.6
CMP-00032,CUST-02492,Google PPC,81.66,Not Converted,0.0
CMP-00033,CUST-02436,Meta Paid Ads,81.41,Not Converted,0.0
CMP-00034,CUST-01597,Email Retargeting,53.02,Converted,184.12
CMP-00035,CUST-00450,Email Retargeting,16.77,Not Converted,0.0
CMP-00036,CUST-03008,Meta Paid Ads,74.2,Not Converted,0.0
CMP-00037,CUST-02027,Email Retargeting,33.92,Not Converted,0.0
CMP-00038,CUST-03046,Google PPC,41.5,Not Converted,0.0
CMP-00039,CUST-01419,Email Retargeting,27.22,Converted,136.54
CMP-00040,CUST-03091,Email Retargeting,49.96,Not Converted,0.0
CMP-00041,CUST-01644,Meta Paid Ads,21.33,Not Converted,0.0
CMP-00042,CUST-01016,Google PPC,39.53,Not Converted,0.0
CMP-00043,CUST-02401,Google PPC,61.81,Converted,414.13
CMP-00044,CUST-02723,Email Retargeting,84.19,Converted,431.62
CMP-00045,CUST-03173,Affiliate Promo,12.0,Not Converted,0.0
CMP-00046,CUST-02046,Influencer Sponsor,51.49,Not Converted,0.0
CMP-00047,CUST-02631,Affiliate Promo,56.87,Not Converted,0.0
CMP-00048,CUST-01779,Meta Paid Ads,56.4,Not Converted,0.0
CMP-00049,CUST-02792,Email Retargeting,53.79,Not Converted,0.0
CMP-00050,CUST-00435,Google PPC,62.82,Not Converted,0.0
CMP-00051,CUST-03171,Google PPC,65.08,Not Converted,0.0
CMP-00052,CUST-00714,Affiliate Promo,14.47,Converted,78.76
CMP-00053,CUST-00963,Meta Paid Ads,37.81,Converted,262.68
CMP-00054,CUST-01669,Influencer Sponsor,47.94,Not Converted,0.0
CMP-00055,CUST-03320,Google PPC,63.7,Not Converted,0.0
CMP-00056,CUST-01224,Email Retargeting,53.23,Not Converted,0.0
CMP-00057,CUST-02152,Email Retargeting,81.37,Converted,466.04
CMP-00058,CUST-02112,Influencer Sponsor,28.17,Not Converted,0.0
CMP-00059,CUST-02454,Google PPC,22.62,Converted,153.65
CMP-00060,CUST-02477,Google PPC,16.4,Converted,56.75
CMP-00061,CUST-03357,Influencer Sponsor,12.1,Not Converted,0.0
CMP-00062,CUST-00543,Google PPC,25.91,Converted,196.51
CMP-00063,CUST-01229,Email Retargeting,18.45,Not Converted,0.0
CMP-00064,CUST-02730,Google PPC,58.81,Not Converted,0.0
CMP-00065,CUST-02002,Meta Paid Ads,56.67,Converted,241.4
CMP-00066,CUST-00655,Email Retargeting,57.62,Converted,429.47
CMP-00067,CUST-02496,Google PPC,17.13,Not Converted,0.0
CMP-00068,CUST-00637,Google PPC,49.43,Not Converted,0.0
CMP-00069,CUST-03150,Influencer Sponsor,59.45,Not Converted,0.0
CMP-00070,CUST-00384,Meta Paid Ads,75.2,Not Converted,0.0
CMP-00071,CUST-01589,Influencer Sponsor,21.01,Not Converted,0.0
CMP-00072,CUST-00346,Meta Paid Ads,25.84,Not Converted,0.0
CMP-00073,CUST-03436,Affiliate Promo,27.61,Not Converted,0.0
CMP-00074,CUST-01423,Email Retargeting,55.81,Not Converted,0.0
CMP-00075,CUST-03470,Meta Paid Ads,65.78,Not Converted,0.0
CMP-00076,CUST-01298,Influencer Sponsor,82.87,Not Converted,0.0
CMP-00077,CUST-02505,Influencer Sponsor,73.3,Not Converted,0.0
CMP-00078,CUST-01128,Affiliate Promo,25.61,Not Converted,0.0
CMP-00079,CUST-02237,Email Retargeting,48.98,Not Converted,0.0
CMP-00080,CUST-01322,Google PPC,8.27,Not Converted,0.0
CMP-00081,CUST-03109,Influencer Sponsor,22.95,Converted,114.28
CMP-00082,CUST-03176,Influencer Sponsor,51.54,Not Converted,0.0
