order_id,customer_id,product_id,order_date,quantity,discount,sales_amount,payment_method,order_status
ORD-000001,CUST-00569,PROD-0082,2024-01-01 00:21:12,2,0.0,1191.34,PayPal,Completed
ORD-000002,CUST-03499,PROD-0178,2024-01-01 01:19:53,1,0.0,269.98,Apple Pay,Completed
ORD-000003,CUST-02861,PROD-0219,2024-01-01 02:16:09,1,0.05,565.63,Apple Pay,Completed
ORD-000004,CUST-01674,PROD-0031,2024-01-01 03:11:24,2,0.1,740.27,Debit Card,Completed
ORD-000005,CUST-02327,PROD-0004,2024-01-01 03:27:50,1,0.15,446.22,Credit Card,Completed
ORD-000006,CUST-00214,PROD-0194,2024-01-01 07:56:43,1,0.0,137.65,Debit Card,Completed
ORD-000007,CUST-01775,PROD-0056,2024-01-01 09:12:14,2,0.0,1445.58,Credit Card,Completed
ORD-000008,CUST-01309,PROD-0005,2024-01-01 10:05:37,2,0.0,59.84,PayPal,Completed
ORD-000009,CUST-00718,PROD-0081,2024-01-01 12:47:57,1,0.0,367.56,PayPal,Completed
ORD-000010,CUST-00970,PROD-0054,2024-01-01 13:11:01,2,0.1,809.42,PayPal,Completed
ORD-000011,CUST-03346,PROD-0124,2024-01-01 15:49:24,1,0.05,679.81,Debit Card,Completed
ORD-000012,CUST-03083,PROD-0231,2024-01-01 17:18:56,2,0.0,1751.9,Debit Card,Completed
ORD-000013,CUST-02919,PROD-0096,2024-01-01 18:27:34,4,0.1,352.4,Credit Card,Completed
ORD-000014,CUST-03119,PROD-0093,2024-01-01 19:40:58,1,0.15,378.03,PayPal,Completed
ORD-000015,CUST-01666,PROD-0080,2024-01-01 19:58:51,1,0.15,35.79,Debit Card,Completed
ORD-000016,CUST-02486,PROD-0001,2024-01-01 20:14:31,1,0.0,213.61,Debit Card,Completed
ORD-000017,CUST-02719,PROD-0204,2024-01-01 20:18:37,1,0.0,277.81,Apple Pay,Completed
ORD-000018,CUST-00904,PROD-0211,2024-01-01 21:08:18,1,0.0,990.22,PayPal,Completed
ORD-000019,CUST-01451,PROD-0073,2024-01-01 21:22:39,2,0.0,1017.64,Debit Card,Completed
ORD-000020,CUST-01456,PROD-0240,2024-01-01 22:13:29,1,0.0,740.49,Credit Card,Completed
ORD-000021,CUST-03202,PROD-0061,2024-01-01 23:33:28,1,0.15,346.34,Debit Card,Cancelled
ORD-000022,CUST-03094,PROD-0126,2024-01-01 23:55:29,2,0.0,834.02,Credit Card,Completed
ORD-000023,CUST-02940,PROD-0007,2024-01-02 00:14:05,2,0.05,2038.22,Credit Card,Completed
ORD-000024,CUST-02437,PROD-0158,2024-01-02 00:24:22,1,0.1,186.76,Debit Card,Completed
ORD-000025,CUST-00135,PROD-0125,2024-01-02 02:54:15,2,0.0,1260.24,PayPal,Completed
ORD-000026,CUST-00532,PROD-0015,2024-01-02 06:35:22,4,0.0,680.96,BNPL (Klarna),Completed
ORD-000027,CUST-02268,PROD-0108,2024-01-02 07:26:13,1,0.05,51.54,Debit Card,Completed
