transaction_id,customer_id,transaction_amount,payment_gateway,device_type,location,transaction_status
TXN-0000001,CUST-01818,158.18,Square,Mobile Android,US-East,Approved
TXN-0000002,CUST-02874,128.83,Adyen,Desktop Windows,US-East,Approved
TXN-0000003,CUST-01175,599.65,Authorize.Net,Mobile iOS,US-East,Declined
TXN-0000004,CUST-00677,70.14,PayPal Gateway,Desktop Windows,US-East,Approved
TXN-0000005,CUST-01103,72.67,Square,Desktop MacOS,APAC-East,Approved
TXN-0000006,CUST-00265,11.76,Square,Mobile Android,APAC-East,Approved
TXN-0000007,CUST-02897,49.46,PayPal Gateway,Mobile Android,US-West,Approved
TXN-0000008,CUST-00540,31.69,Adyen,Desktop MacOS,EU-Central,Approved
TXN-0000009,CUST-01784,175.14,PayPal Gateway,Desktop Windows,US-East,Approved
TXN-0000010,CUST-00804,45.32,Stripe,Mobile iOS,US-East,Approved
TXN-0000011,CUST-01508,23.21,Authorize.Net,Mobile iOS,US-West,Approved
TXN-0000012,CUST-00748,34.71,PayPal Gateway,Mobile iOS,US-West,Approved
TXN-0000013,CUST-00673,484.85,Adyen,Tablet,US-West,Approved
TXN-0000014,CUST-00825,206.49,Square,Desktop Windows,EU-Central,Approved
TXN-0000015,CUST-01740,148.25,Adyen,Mobile iOS,LATAM-South,Approved
TXN-0000016,CUST-02663,125.19,Stripe,Desktop MacOS,APAC-East,Approved
TXN-0000017,CUST-02251,22.68,Stripe,Desktop Windows,LATAM-South,Approved
TXN-0000018,CUST-01603,13.77,Square,Desktop Windows,EU-Central,Approved
TXN-0000019,CUST-01511,52.39,Stripe,Desktop Windows,APAC-East,Declined
TXN-0000020,CUST-02716,14.97,Authorize.Net,Mobile Android,US-West,Approved
TXN-0000021,CUST-00052,187.11,Adyen,Tablet,LATAM-South,Approved
TXN-0000022,CUST-03239,115.9,PayPal Gateway,Tablet,US-West,Approved
TXN-0000023,CUST-01093,136.41,PayPal Gateway,Desktop Windows,EU-Central,Approved
TXN-0000024,CUST-00170,14.84,Square,Desktop Windows,US-West,Approved
TXN-0000025,CUST-02778,2572.65,Authorize.Net,Mobile Android,LATAM-South,Flagged_Fraud
TXN-0000026,CUST-02916,237.31,Square,Tablet,EU-Central,Declined
TXN-0000027,CUST-00215,120.96,Stripe,Mobile iOS,US-East,Approved
TXN-0000028,CUST-01348,35.97,Square,Tablet,LATAM-South,Approved
TXN-0000029,CUST-01942,81.62,Authorize.Net,Mobile iOS,US-West,Approved
TXN-0000030,CUST-02963,128.48,Square,Desktop Windows,LATAM-South,Approved
TXN-0000031,CUST-01235,15.51,Adyen,Mobile Android,US-East,Approved
TXN-0000032,CUST-02386,51.02,Square,Tablet,LATAM-South,Approved
TXN-0000033,CUST-02848,136.05,Authorize.Net,Desktop MacOS,LATAM-South,Approved
TXN-0000034,CUST-03318,64.91,Square,Tablet,US-West,Approved
TXN-0000035,CUST-02049,416.49,PayPal Gateway,Tablet,APAC-East,Approved
TXN-0000036,CUST-00769,34.87,PayPal Gateway,Desktop MacOS,US-West,Approved
TXN-0000037,CUST-02728,466.25,Adyen,Mobile iOS,EU-Central,Approved
TXN-0000038,CUST-02753,216.05,Square,Mobile iOS,EU-Central,Approved
TXN-0000039,CUST-01875,19.77,Authorize.Net,Desktop Windows,LATAM-South,Approved
TXN-0000040,CUST-01873,103.17,PayPal Gateway,Tablet,US-East,Approved
TXN-0000041,CUST-00147,71.04,Stripe,Desktop Windows,EU-Central,Approved
TXN-0000042,CUST-01474,136.63,Stripe,Mobile Android,EU-Central,Approved
TXN-0000043,CUST-02009,195.29,Adyen,Desktop MacOS,LATAM-South,Approved
TXN-0000044,CUST-01099,66.02,Authorize.Net,Mobile iOS,US-East,Approved
TXN-0000045,CUST-00017,143.62,Adyen,Mobile Android,LATAM-South,Approved
TXN-0000046,CUST-02636,236.12,Stripe,Desktop MacOS,LATAM-South,Approved
TXN-0000047,CUST-01575,481.02,Stripe,Desktop MacOS,LATAM-South,Approved
TXN-0000048,CUST-03115,43.09,Adyen,Mobile Android,US-West,Approved
TXN-0000049,CUST-00238,76.72,Authorize.Net,Mobile iOS,EU-Central,Approved
TXN-0000050,CUST-01478,105.76,Square,Mobile Android,US-West,Approved
TXN-0000051,CUST-00596,49.29,Adyen,Mobile Android,US-West,Approved
TXN-0000052,CUST-00152,38.92,Stripe,Desktop MacOS,EU-Central,Approved
TXN-0000053,CUST-01612,179.84,Authorize.Net,Tablet,LATAM-South,Approved
TXN-0000054,CUST-00845,171.89,Adyen,Mobile iOS,LATAM-South,Approved
TXN-0000055,CUST-02585,75.68,Stripe,Mobile Android,EU-Central,Approved
TXN-0000056,CUST-01274,363.93,Authorize.Net,Mobile Android,LATAM-South,Approved
TXN-0000057,CUST-03400,344.0,Stripe,Desktop MacOS,US-East,Approved
TXN-0000058,CUST-01109,183.8,PayPal Gateway,Desktop MacOS,APAC-East,Approved
TXN-0000059,CUST-02094,2882.97,PayPal Gateway,Desktop MacOS,US-West,Flagged_Fraud
TXN-0000060,CUST-02897,89.94,Adyen,Tablet,EU-Central,Approved
TXN-0000061,CUST-01967,90.58,Square,Mobile iOS,EU-Central,Approved
TXN-0000062,CUST-00958,71.77,Adyen,Tablet,US-East,Approved
TXN-0000063,CUST-00501,152.94,Adyen,Desktop MacOS,US-East,Approved
TXN-0000064,CUST-00870,3494.3,Adyen,Desktop MacOS,EU-Central,Chargeback
TXN-0000065,CUST-03287,76.09,Adyen,Mobile iOS,APAC-East,Approved
TXN-0000066,CUST-02617,55.24,Square,Desktop Windows,US-West,Approved
TXN-0000067,CUST-02205,58.67,Authorize.Net,Mobile iOS,EU-Central,Approved
TXN-0000068,CUST-01830,85.44,Square,Desktop Windows,US-East,Approved
TXN-0000069,CUST-00250,47.88,Adyen,Mobile iOS,LATAM-South,Approved
TXN-0000070,CUST-01068,32.25,PayPal Gateway,Tablet,LATAM-South,Approved
TXN-0000071,CUST-02356,164.24,PayPal Gateway,Mobile iOS,EU-Central,Approved
TXN-0000072,CUST-01673,10.31,Adyen,Tablet,APAC-East,Approved
TXN-0000073,CUST-02680,367.58,Authorize.Net,Mobile iOS,LATAM-South,Approved
TXN-0000074,CUST-00033,282.81,Adyen,Mobile iOS,US-West,Approved
TXN-0000075,CUST-01470,22.47,Adyen,Desktop Windows,EU-Central,Approved
TXN-0000076,CUST-02473,15.67,PayPal Gateway,Mobile Android,LATAM-South,Approved
TXN-0000077,CUST-00046,3397.68,PayPal Gateway,Desktop MacOS,US-East,Chargeback
TXN-0000078,CUST-01711,42.27,PayPal Gateway,Mobile Android,US-East,Approved
TXN-0000079,CUST-03492,236.54,Adyen,Desktop Windows,LATAM-South,Approved
TXN-0000080,CUST-01011,99.95,Authorize.Net,Desktop MacOS,APAC-East,Approved
